species,longitude,latitude
Tulipa ferganica,70.41689191111851,37.280921712494695
Tulipa ferganica,68.32151589953607,41.982390895316875
Tulipa ferganica,73.29113312613093,38.01214073567884
Tulipa ferganica,65.3234459911229,37.972461877862784
Tulipa ferganica,68.37000432860434,39.93816222577434
Tulipa ferganica,65.93442820889264,39.21978084934465
Tulipa ferganica,69.75980957352499,39.89422440066665
Tulipa ferganica,65.3139862454797,40.696321396358236
Tulipa ferganica,69.99483138947686,37.935867174424345
Tulipa ferganica,67.98443216455823,38.36041742694205
Tulipa ferganica,73.8127311463336,39.21512675849221
Tulipa ferganica,73.50444873596278,37.49721248093468
Tulipa ferganica,65.74651513673656,41.1445815604689
Tulipa ferganica,68.04113137540823,37.48913199513972
Tulipa ferganica,73.42711347432666,41.06936350663277
Tulipa ferganica,69.31983160708408,37.30513812268031
Tulipa ferganica,68.4677608629848,42.72650496174501
Tulipa ferganica,66.08369038020487,42.81405117561545
Tulipa ferganica,71.53891184134777,40.476622842713454
Tulipa ferganica,73.2640582156305,37.19063517481065
Tulipa ferganica,65.17775959477814,38.246416015136255
Tulipa ferganica,71.2403188825229,41.476581968918325
Tulipa ferganica,67.65338811443456,38.98533504990495
Tulipa ferganica,72.98764813766206,42.213820633530176
Tulipa ferganica,67.95670842551633,41.97969542850139
Tulipa ferganica,72.3072612842471,37.006558541890655
Tulipa ferganica,73.22027127274164,42.441030094260796
Tulipa ferganica,73.3694923326309,38.32832578289245
Tulipa ferganica,66.8221969035872,37.725585643384825
Tulipa ferganica,70.89782063746432,39.110303651142495
Tulipa ferganica,72.39228720581856,42.06626955190613
Tulipa ferganica,65.76564637537766,37.17115148772244
Tulipa ferganica,65.03310779152677,38.94028216868936
Tulipa ferganica,65.31046919188022,42.382708799109295
Tulipa ferganica,67.53347471592849,39.50997424832831
Tulipa ferganica,66.9726155851746,37.43822129925292
Tulipa ferganica,68.86841477173883,39.335105183469246
Tulipa ferganica,66.08372636483205,38.61239859076164
Tulipa ferganica,66.17232494851055,38.66388048738936
Tulipa ferganica,71.68938330643682,38.845854755263304
Tulipa ferganica,65.70574493242503,41.9532784318733
Tulipa ferganica,67.5468542952626,39.96312087995341
Tulipa ferganica,67.53981465293873,39.0985507536468
Tulipa ferganica,69.5723071485488,41.72363064240541
