spec,longitude,latitude
T_kauf,68.72390937,41.22018769
T_kauf,66.81282791,41.81633559
T_kauf,72.02068568,38.52774811
T_kauf,73.21086237,37.239209
T_kauf,71.54965591,42.31069192
T_kauf,65.43756182,42.86556262
T_kauf,67.78258618,39.70751575
T_kauf,72.29177857,37.57686865
T_kauf,70.01161597,40.60003656
T_kauf,72.38593986,39.31181234
T_kauf,66.88767008,42.70315317
T_kauf,65.37101471,41.58825495
T_kauf,70.8649566,38.45221973
T_kauf,67.62414845,38.77551362
T_kauf,71.86897244,38.00558004
T_kauf,73.238668,42.04282761
T_kauf,72.48872241,39.86011627
T_kauf,68.05071856,40.0484144
T_kauf,65.71432368,42.73503538
T_kauf,69.94687019,37.6626273
T_kauf,65.22426936,41.59445513
T_kauf,71.98159529,38.16060907
T_kauf,73.06897999,38.85317645
T_kauf,70.40866796,38.93738831
T_kauf,69.60201765,37.51002216
T_kauf,73.56969575,41.89857988
T_kauf,69.88516349,37.16155943
T_kauf,66.99800386,41.56992546
T_kauf,72.07212774,38.5611273
T_kauf,70.66764094,40.52272676
T_kauf,65.03570853,40.84652057
T_kauf,70.90444317,39.9990066
T_kauf,70.79852371,39.42783097
T_kauf,72.52062194,41.16485458
T_kauf,71.92501167,41.39028915
T_kauf,70.41544938,42.81220756
T_kauf,72.75717612,40.18550775
T_kauf,67.99751962,37.10308452
T_kauf,72.66975384,37.57325694
T_kauf,66.32441282,39.35654741
T_kauf,73.34059559,39.24888693
T_kauf,73.1573436,40.41511745
T_kauf,66.35301214,37.76120702
T_kauf,69.13047035,38.88607294
T_kauf,68.00963914,42.43727857
T_kauf,70.52217215,38.4109117
T_kauf,72.70895589,37.52253453
T_kauf,71.92011,42.25144227
T_kauf,65.88873529,39.14854225
T_kauf,73.38046095,42.40020683
T_kauf,65.81745834,42.97377891
T_kauf,66.82201047,42.28889613
T_kauf,72.7666559,41.14541209
T_kauf,68.11707842,40.18581368
T_kauf,66.69553049,41.23791178
T_kauf,72.55676339,37.08474566
T_kauf,70.22283773,37.34861883
