species,longitude,latitude
Tulipa_mogoltavica,72.48574776322515,37.06784891667586
Tulipa_mogoltavica,65.2809680453386,39.05029461973715
Tulipa_mogoltavica,68.66160227064516,37.19585366939842
Tulipa_mogoltavica,70.50665549608412,40.125402669674365
Tulipa_mogoltavica,66.51638294575791,39.41170062501993
Tulipa_mogoltavica,71.40349101224798,41.447112972946734
Tulipa_mogoltavica,73.9155974080003,37.56285823608703
Tulipa_mogoltavica,70.93358964099463,41.505581895790144
Tulipa_mogoltavica,67.29796012935181,38.1242968435505
Tulipa_mogoltavica,73.55498091857332,42.687074937963004
Tulipa_mogoltavica,73.12563076195732,42.13970802614267
Tulipa_mogoltavica,67.06210017745659,42.206526388057156
Tulipa_mogoltavica,66.87352576267435,41.813931145154115
Tulipa_mogoltavica,69.86724312792978,39.503592899376265
Tulipa_mogoltavica,72.43498447036714,41.8045185529754
Tulipa_mogoltavica,73.57365899842706,38.517573534625164
Tulipa_mogoltavica,70.88359068198932,37.077249302457346
Tulipa_mogoltavica,71.84729368206638,38.40301845321242
Tulipa_mogoltavica,68.82434848966179,42.90476640499599
Tulipa_mogoltavica,67.7594252780152,40.219005442911794
Tulipa_mogoltavica,68.67181489992703,38.88598705080186
Tulipa_mogoltavica,72.46428311731147,42.00610728276921
Tulipa_mogoltavica,68.91689131740841,38.775077385963804
Tulipa_mogoltavica,65.1765129729633,41.074359171782646
Tulipa_mogoltavica,66.6454438783563,39.23541327961853
Tulipa_mogoltavica,71.14247909763473,38.06651328980667
Tulipa_mogoltavica,67.70777482922509,42.634237653416996
Tulipa_mogoltavica,69.11912524558598,39.99154451604182
Tulipa_mogoltavica,70.67070110510622,37.42434654281872
Tulipa_mogoltavica,73.6146755253087,42.489928114157195
Tulipa_mogoltavica,70.71756840053887,38.704134797881764
Tulipa_mogoltavica,66.24235921762629,37.253642136560934
Tulipa_mogoltavica,66.03451657308013,38.8093894916044
Tulipa_mogoltavica,73.60368740501855,42.87590750998173
Tulipa_mogoltavica,68.11260998355206,37.09336397559843
Tulipa_mogoltavica,71.77048112670292,37.32300058492107
Tulipa_mogoltavica,70.27809815978766,41.333494794081396
Tulipa_mogoltavica,73.70272194274997,42.86281127996453
Tulipa_mogoltavica,67.0380565374752,42.23760623639443
Tulipa_mogoltavica,70.63626852514152,39.020323128419264
Tulipa_mogoltavica,73.46079224942153,38.308282088795
Tulipa_mogoltavica,68.79131749872244,37.28330412352957
Tulipa_mogoltavica,71.51884008745871,41.325740865896655
Tulipa_mogoltavica,71.4019915524898,37.580341341289966
Tulipa_mogoltavica,71.2735102774123,41.3864184145997
Tulipa_mogoltavica,72.04734253637027,40.69598272178656
Tulipa_mogoltavica,69.26261449659572,37.49237980300059
Tulipa_mogoltavica,73.28493709986934,37.03010690731381
Tulipa_mogoltavica,73.120372638126,40.30377953365152
Tulipa_mogoltavica,65.38686751571572,42.298946945651984
Tulipa_mogoltavica,73.11469522645936,40.82330866612716
Tulipa_mogoltavica,72.11078312611247,37.353475467957026
Tulipa_mogoltavica,66.80892368372498,37.54316422001158
Tulipa_mogoltavica,70.81306797316016,40.97104398318871
Tulipa_mogoltavica,73.30156025349655,42.04229769076454
Tulipa_mogoltavica,67.54660140628752,41.508158674083276
Tulipa_mogoltavica,73.91613128002395,37.32096986093541
Tulipa_mogoltavica,68.34316366064662,37.6050675367305
Tulipa_mogoltavica,67.55125262183576,41.16456710058579
Tulipa_mogoltavica,71.41599374547164,40.44979969403367
